#Starting log sesion 02:26:40:955
%Timestamp;streamData
1434976000966.95;;
1434976000969.11;;
1434976001152.76;;
1434976001296.13;;
1434976001313.14;;
1434976001329.62;;
1434976001360.42;;
1434976001392.3;;
1434976001424.1;;
1434976001460.49;;
1434976001492.3;;
1434976001524.09;;
1434976001560.57;;
1434976001584.15;;
1434976001604.28;;
1434976001621.05;;
1434976001637.56;;
1434976001656.31;;
1434976001672.94;;
1434976001692.44;;
1434976001709.69;;
1434976001725.58;;
1434976001742.43;;
1434976001759.02;;
1434976001775.72;;
1434976001792.38;;
1434976001808.47;;
1434976001825.05;;
1434976001841.72;;
1434976001858.34;;
1434976001874.75;;
1434976001891.62;;
1434976001908.17;;
1434976001924.54;;
1434976001941.26;;
1434976001957.86;;
1434976001974.58;;
1434976001991.16;;
1434976002008.36;;
1434976002025.13;;
1434976002041.79;;
1434976002058.54;;
1434976002075.49;;
1434976002091.73;;
1434976002108.31;;
1434976002124.54;;
1434976002154.69;1;;
1434976002159.97;1;;
1434976002177.12;occluderUp;;
1434976002193.85;occluderUp;;
1434976002241.06;occluderUp;;
1434976002272.19;occluderUp;;
1434976002288.71;occluderUp;;
1434976002308.37;occluderUp;;
1434976002325.07;occluderUp;;
1434976002341.69;occluderUp;;
1434976002358.32;occluderUp;;
1434976002375.04;occluderUp;;
1434976002392.59;occluderUp;;
1434976002409.82;occluderUp;;
1434976002425.78;occluderUp;;
1434976002442.74;occluderUp;;
1434976002459.22;occluderUp;;
1434976002476.46;occluderUp;;
1434976002493.14;occluderUp;;
1434976002509.75;occluderUp;;
1434976002526.26;occluderUp;;
1434976002542.89;occluderUp;;
1434976002559.68;occluderUp;;
1434976002576.36;occluderUp;;
1434976002592.5;occluderUp;;
1434976002609.12;occluderUp;;
1434976002625.63;occluderUp;;
1434976002642.47;occluderUp;;
1434976002659.03;occluderUp;;
1434976002675.7;occluderUp;;
1434976002692.47;occluderUp;;
1434976002709.16;occluderUp;;
1434976002725.68;occluderUp;;
1434976002742.49;occluderUp;;
1434976002760.39;occluderUp;;
1434976002777.07;occluderUp;;
1434976002793.66;occluderUp;;
1434976002810.3;occluderUp;;
1434976002826.88;occluderUp;;
1434976002843.31;occluderUp;;
1434976002860.36;occluderUp;;
1434976002876.85;occluderUp;;
1434976002892.99;occluderUp;;
1434976002909.72;occluderUp;;
1434976002926.19;occluderUp;;
1434976002943.04;occluderUp;;
1434976002959.58;occluderUp;;
1434976002976.43;occluderUp;;
1434976002993.03;occluderUp;;
1434976003009.65;occluderUp;;
1434976003026.16;occluderUp;;
1434976003043;occluderUp;;
1434976003060.35;occluderUp;;
1434976003076.94;occluderUp;;
1434976003093.51;occluderUp;;
1434976003110.16;occluderUp;;
1434976003126.49;occluderUp;;
1434976003143.39;occluderUp;;
1434976003160.09;occluderUp;;
1434976003176.76;occluderUp;;
1434976003193.43;occluderUp;;
1434976003210.08;occluderUp;;
1434976003226.61;occluderUp;;
1434976003243.1;occluderUp;;
1434976003260.54;occluderUp;;
1434976003277.17;occluderUp;;
1434976003293.83;occluderUp;;
1434976003310.34;occluderUp;;
1434976003327;occluderUp;;
1434976003344.56;occluderUp;;
1434976003361.23;occluderUp;;
1434976003377.88;occluderUp;;
1434976003394.51;occluderUp;;
1434976003410.99;occluderUp;;
1434976003427.71;occluderUp;;
1434976003444.47;occluderUp;;
1434976003461.68;occluderUp;;
1434976003477.7;occluderUp;;
1434976003494.57;occluderUp;;
1434976003511.02;occluderUp;;
1434976003527.62;occluderUp;;
1434976003544.34;occluderUp;;
1434976003560.43;occluderUp;;
1434976003577.06;occluderUp;;
1434976003593.71;occluderUp;;
1434976003610.37;occluderUp;;
1434976003626.89;occluderUp;;
1434976003644.6;occluderUp;;
1434976003661.29;occluderUp;;
1434976003677.88;occluderUp;;
1434976003694.53;occluderUp;;
1434976003711.16;occluderUp;;
1434976003727.75;occluderUp;;
1434976003744.25;occluderUp;;
1434976003760.85;occluderUp;;
1434976003777.57;occluderUp;;
1434976003796.52;occluderUp;;
1434976003813.54;occluderUp;;
1434976003829.72;occluderUp;;
1434976003846.45;occluderUp;;
1434976003863.08;occluderUp;;
1434976003879.72;occluderUp;;
1434976003896.36;occluderUp;;
1434976003913.11;occluderUp;;
1434976003929.25;occluderUp;;
1434976003945.65;occluderUp;;
1434976003962.44;occluderUp;;
1434976003978.82;occluderUp;;
1434976003995.75;occluderUp;;
1434976004012.35;occluderUp;;
1434976004028.36;occluderUp;;
1434976004045.1;occluderUp;;
1434976004061.71;occluderUp;;
1434976004078.41;occluderUp;;
1434976004094.97;occluderUp;;
1434976004112.46;occluderUp;;
1434976004129.17;occluderUp;;
1434976004145.65;occluderUp;;
1434976004162.4;occluderUp;;
1434976004179.09;occluderUp;;
1434976004195.71;occluderUp;;
1434976004212.34;occluderUp;;
1434976004228.38;occluderUp;;
1434976004245.17;occluderUp;;
1434976004261.8;occluderUp;;
1434976004278.42;occluderUp;;
1434976004295.01;occluderUp;;
1434976004311.67;occluderUp;;
1434976004328.32;occluderUp;;
1434976004345.16;occluderUp;;
1434976004361.68;occluderUp;;
1434976004378.43;occluderUp;;
1434976004406.24;occluderUp;;
1434976004444.36;occluderUp;;
1434976004480.51;occluderUp;;
1434976004508;occluderUp;;
1434976004544.23;occluderUp;;
1434976004661.02;occluderUp;;
1434976004754.68;occluderUp;;
1434976004877.14;occluderUp;;
1434976004912.64;occluderUp;;
1434976004948.16;occluderUp;;
1434976004996.48;occluderUp;;
1434976005028.59;occluderUp;;
1434976005076.24;occluderUp;;
1434976005112.26;occluderUp;;
1434976005143.97;occluderUp;;
1434976005181.25;occluderUp;;
1434976005212.9;occluderUp;;
1434976005247.94;occluderUp;;
1434976005296.42;occluderUp;;
1434976005328.05;occluderUp;;
1434976005364.38;occluderUp;;
1434976005396.34;occluderUp;;
1434976005428;occluderUp;;
1434976005464.46;occluderUp;;
1434976005496.38;occluderUp;;
1434976005528.11;occluderUp;;
1434976005564.68;occluderUp;;
1434976005596.19;occluderUp;;
1434976005628.13;occluderUp;;
1434976005664.11;occluderUp;;
1434976005696.33;occluderUp;;
1434976005732.48;occluderUp;;
1434976005796.24;occluderUp;;
1434976005827.99;occluderUp;;
1434976005864.46;occluderUp;;
1434976005928.08;occluderUp;;
1434976005964.44;occluderUp;;
1434976005996.05;occluderUp;;
1434976006032.6;occluderUp;;
1434976006064.3;occluderUp;;
1434976006096.21;occluderUp;;
1434976006133.25;occluderUp;;
1434976006164.19;occluderUp;;
1434976006196.22;occluderUp;;
1434976006232.43;occluderUp;;
1434976006264.11;occluderUp;;
1434976006296.15;occluderUp;;
1434976006332.55;occluderUp;;
1434976006364.45;occluderUp;;
1434976006412.39;occluderUp;;
1434976006452.26;occluderUp;;
1434976006480.03;occluderUp;;
1434976006584.67;occluderUp;;
1434976006653.59;occluderUp;;
1434976006688.39;occluderUp;;
1434976006716.5;occluderUp;;
1434976006764.27;occluderUp;;
1434976006800.05;occluderUp;;
1434976006848.21;occluderUp;;
1434976006900.59;occluderUp;;
1434976006932.6;occluderUp;;
1434976006968.3;occluderUp;;
1434976007000.41;occluderUp;;
1434976007064.49;occluderUp;;
1434976007100.66;occluderUp;;
1434976007132.07;occluderUp;;
1434976007164.1;occluderUp;;
1434976007200.46;occluderUp;;
1434976007248.38;occluderUp;;
1434976007284.72;occluderUp;;
1434976007316.3;occluderUp;;
1434976007360.5;occluderUp;;
1434976007432.49;occluderUp;;
1434976007472.83;occluderUp;;
1434976007500.25;occluderUp;;
1434976007532.32;occluderUp;;
1434976007568.08;occluderUp;;
1434976007600.13;occluderUp;;
1434976007632.11;occluderUp;;
1434976007668.22;occluderUp;;
1434976007700.23;occluderUp;;
1434976007731.97;occluderUp;;
1434976007768.21;occluderUp;;
1434976007800.3;occluderUp;;
1434976007836.36;occluderUp;;
1434976007868.48;occluderUp;;
1434976007900.24;occluderUp;;
1434976007936.27;occluderUp;;
1434976007968.55;occluderUp;;
1434976008000.34;occluderUp;;
1434976008036.32;occluderUp;;
1434976008068.11;occluderUp;;
1434976008100.18;occluderUp;;
1434976008132.12;occluderUp;;
1434976008168.26;occluderUp;;
1434976008200.08;occluderUp;;
1434976008232.03;occluderUp;;
1434976008268.32;occluderUp;;
1434976008300.31;occluderUp;;
1434976008336.4;occluderUp;;
1434976008368.16;occluderUp;;
1434976008400.26;occluderUp;;
1434976008436.26;occluderUp;;
1434976008469.25;occluderUp;;
1434976008500.15;occluderUp;;
1434976008536.14;occluderUp;;
1434976008568.14;occluderUp;;
1434976008600.21;occluderUp;;
1434976008636.89;occluderUp;;
1434976008668.03;occluderUp;;
1434976008684.77;occluderUp;;
1434976008701.33;occluderUp;;
1434976008720.92;occluderUp;;
