#Starting log sesion 02:26:25:593
%Timestamp;streamData
1434975985607.23;;
1434975985609.45;;
1434975992876.32;;
1434975993005.71;1;;
1434975993015.62;1;;
1434975993032.31;occluderUp;;
1434975993055.35;occluderUp;;
1434975993075.42;occluderUp;;
1434975993123.57;occluderUp;;
1434975993151.5;occluderUp;;
1434975993171.2;occluderUp;;
1434975993191.66;occluderUp;;
1434975993208.34;occluderUp;;
1434975993235.39;occluderUp;;
1434975993255.2;occluderUp;;
1434975993275.84;occluderUp;;
1434975993292.49;occluderUp;;
1434975993309.14;occluderUp;;
1434975993325.77;occluderUp;;
1434975993342.27;occluderUp;;
1434975993358.94;occluderUp;;
1434975993375.76;occluderUp;;
1434975993392.42;occluderUp;;
1434975993408.95;occluderUp;;
1434975993425.26;occluderUp;;
1434975993441.91;occluderUp;;
1434975993459.34;occluderUp;;
1434975993476.09;occluderUp;;
1434975993492.74;occluderUp;;
1434975993509.35;occluderUp;;
1434975993526.01;occluderUp;;
1434975993542.68;occluderUp;;
1434975993559.2;occluderUp;;
1434975993575.71;occluderUp;;
1434975993592.95;occluderUp;;
1434975993611.68;occluderUp;;
1434975993628.87;occluderUp;;
1434975993645.55;occluderUp;;
1434975993661.5;occluderUp;;
1434975993678.68;occluderUp;;
1434975993695.48;occluderUp;;
1434975993711.53;occluderUp;;
1434975993728.18;occluderUp;;
1434975993744.52;occluderUp;;
1434975993761.43;occluderUp;;
1434975993778.02;occluderUp;;
1434975993794.73;occluderUp;;
1434975993810.91;occluderUp;;
1434975993827.48;occluderUp;;
1434975993843.92;occluderUp;;
1434975993860.58;occluderUp;;
1434975993876.89;occluderUp;;
1434975993893.63;occluderUp;;
1434975993910.13;occluderUp;;
1434975993926.8;occluderUp;;
1434975993943.12;occluderUp;;
1434975993960;occluderUp;;
1434975993976.75;occluderUp;;
1434975993992.86;occluderUp;;
1434975994009.56;occluderUp;;
1434975994026.07;occluderUp;;
1434975994042.8;occluderUp;;
1434975994059.52;occluderUp;;
1434975994076.8;occluderUp;;
1434975994093.44;occluderUp;;
1434975994109.59;occluderUp;;
1434975994126.2;occluderUp;;
1434975994144;occluderUp;;
1434975994160.61;occluderUp;;
1434975994177.27;occluderUp;;
1434975994193.97;occluderUp;;
